date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:04	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2004:30:04%20GMT	https://teckko.vercel.app/robots.txt		(from )
09:30:05	127078/127078	---MCZ	200	added ('OK')	text/html	etag:W/%22c32fafa8cb4c83e4c0928f846478c1d6%22	https://teckko.vercel.app/	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/index.html	(from )
09:30:05	298776/298776	---MCZ	200	added ('OK')	text/css	etag:W/%22161ca40b318e3cf82934fa4d6d017e1d%22	https://teckko.vercel.app/css/bootstrap.css	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/css/bootstrap.css	(from https://teckko.vercel.app/)
09:30:05	58844/58844	---MCZ	200	added ('OK')	text/css	etag:W/%22152cfc0ad7dced141ff2f7b94152364c%22	https://teckko.vercel.app/css/animate.min.css	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/css/animate.min.css	(from https://teckko.vercel.app/)
09:30:06	5259/5259	---MCZ	200	added ('OK')	text/css	etag:W/%2245b7d9ddec0520fdcfaa1e6b3f7ce953%22	https://teckko.vercel.app/css/magnific-popup.min.css	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/css/magnific-popup.min.css	(from https://teckko.vercel.app/)
09:30:07	18459/18459	---MCZ	200	added ('OK')	text/css	etag:W/%22bacdcc5aaa5ef0998d9f2a06ee0e456a%22	https://teckko.vercel.app/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/css/swiper-bundle.min.css	(from https://teckko.vercel.app/)
09:30:08	5055/5055	---MCZ	200	added ('OK')	text/css	etag:W/%220af9c8c94332425f89f150c0447a4b62%22	https://teckko.vercel.app/css/nice-select.css	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/css/nice-select.css	(from https://teckko.vercel.app/)
09:30:09	3563/3563	---MCZ	200	added ('OK')	text/css	etag:W/%2217a0598bbe9c0bd2144fe7c067eb5196%22	https://teckko.vercel.app/css/odometer-theme-default.css	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/css/odometer-theme-default.css	(from https://teckko.vercel.app/)
09:30:10	27307/27307	---MCZ	200	added ('OK')	text/css	etag:W/%22ee4e510e5933b948f7f68f586ee30f90%22	https://teckko.vercel.app/css/textanimation.css	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/css/textanimation.css	(from https://teckko.vercel.app/)
09:30:10	58942/58942	---MCZ	200	added ('OK')	text/css	etag:W/%226881e446-e63e%22	https://sibforms.com/forms/end-form/build/sib-styles.css	C:/My%20Web%20Sites/Ayan/sibforms.com/forms/end-form/build/sib-styles.css	(from https://teckko.vercel.app/)
09:30:11	129593/129593	---MCZ	200	added ('OK')	text/css	etag:W/%22085d88e106366e7ebf887e5fe9321e80%22	https://teckko.vercel.app/css/styles.css	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/css/styles.css	(from https://teckko.vercel.app/)
09:30:11	2419/2419	---MCZ	200	added ('OK')	text/css	etag:W/%220fe86f7fd5ee9795734ffeaac819b5cb%22	https://teckko.vercel.app/icons/icomoon/style.css	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/icons/icomoon/style.css	(from https://teckko.vercel.app/)
09:30:12	401/401	---M--	200	added ('OK')	image/png	etag:%22f49055c6bc2c7d059c6d8689b7f8182f%22	https://teckko.vercel.app/image/logo/favicon.png	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/image/logo/favicon.png	(from https://teckko.vercel.app/)
09:30:14	127078/127078	---MCZ	200	added ('OK')	text/html	etag:W/%22c32fafa8cb4c83e4c0928f846478c1d6%22	https://teckko.vercel.app/index.html	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/index-2.html	(from https://teckko.vercel.app/)
09:30:14	2502/2502	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22000b7f26326f6d4290f89bf8971e778e%22	https://teckko.vercel.app/image/logo/logo.svg	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/image/logo/logo.svg	(from https://teckko.vercel.app/)
09:30:14	105441/105441	---MCZ	200	added ('OK')	text/html	etag:W/%221822878557eb3e8674eeb3655d441abd%22	https://teckko.vercel.app/about-us.html	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/about-us.html	(from https://teckko.vercel.app/)
09:30:15	83445/83445	---MCZ	200	added ('OK')	text/html	etag:W/%225525dd573314d80524fb6cb58477918b%22	https://teckko.vercel.app/porfolio-grid.html	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/porfolio-grid.html	(from https://teckko.vercel.app/)
09:30:16	53279/53279	---MCZ	200	added ('OK')	text/html	etag:W/%2290f9bc180552141ab101bf63ea8e4ede%22	https://teckko.vercel.app/porfolio-list.html	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/porfolio-list.html	(from https://teckko.vercel.app/)
09:30:17	56456/56456	---MCZ	200	added ('OK')	text/html	etag:W/%226e4ebceaae4619d1f009e778d9747443%22	https://teckko.vercel.app/porfolio-details.html	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/porfolio-details.html	(from https://teckko.vercel.app/)
09:30:17	80405/80405	---MCZ	200	added ('OK')	text/html	etag:W/%22740d8e775b42c46ca098a5779fba4f39%22	https://teckko.vercel.app/services.html	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/services.html	(from https://teckko.vercel.app/)
09:30:17	67594/67594	---MCZ	200	added ('OK')	text/html	etag:W/%22a459456a184c609cc2bb4d6cf0b4d126%22	https://teckko.vercel.app/services-details.html	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/services-details.html	(from https://teckko.vercel.app/)
09:30:18	75235/75235	---MCZ	200	added ('OK')	text/html	etag:W/%22e4219ee075c0e62efce6899635e32b59%22	https://teckko.vercel.app/team.html	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/team.html	(from https://teckko.vercel.app/)
09:30:19	72422/72422	---MCZ	200	added ('OK')	text/html	etag:W/%2274eb4e4b842e3c14cb6d61a63f2c99be%22	https://teckko.vercel.app/faq.html	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/faq.html	(from https://teckko.vercel.app/)
09:30:19	90226/90226	---MCZ	200	added ('OK')	text/html	etag:W/%228b117335754e609642d1efd5c4bd75bc%22	https://teckko.vercel.app/pricing.html	C:/My%20Web%20Sites/Ayan/teckko.vercel.app/pricing.html	(from https://teckko.vercel.app/)
